"Index","x1","x2","x3","x4","y"
2016-03-15 10:54:00,746,611,412.5,2158,2027
2016-03-15 10:55:00,746.5,611.5,413.5,2157,2028
2016-03-15 10:56:00,747,611.5,413.5,2156,2026
2016-03-15 10:57:00,746.5,611,414,2156,2026
2016-03-15 10:58:00,747,611.5,414.5,2159,2026
2016-03-15 10:59:00,747,612,415,2160,2026
2016-03-15 11:00:00,746,611.5,414,2157,2021
2016-03-15 11:01:00,747.5,611.5,415,2157,2022
2016-03-15 11:02:00,747,611.5,414.5,2158,2023
2016-03-15 11:03:00,749,612.5,415.5,2162,2027
2016-03-15 11:04:00,748.5,613,415,2159,2026
2016-03-15 11:05:00,748,613,415,2160,2025
2016-03-15 11:06:00,747,612.5,414.5,2157,2024
2016-03-15 11:07:00,747,612,414,2157,2023
2016-03-15 11:08:00,747.5,613,414.5,2159,2025
2016-03-15 11:09:00,747,612.5,414,2159,2024
2016-03-15 11:10:00,747,612,414,2158,2023
2016-03-15 11:11:00,746,611,413,2151,2019
2016-03-15 11:12:00,746.5,612,413,2150,2019
2016-03-15 11:13:00,744.5,612,413,2148,2017
2016-03-15 11:14:00,745,612.5,414,2152,2019
2016-03-15 11:15:00,746,613.5,415,2155,2019
2016-03-15 11:16:00,744,612.5,414,2154,2017
2016-03-15 11:17:00,744.5,613,414.5,2154,2019
2016-03-15 11:18:00,745.5,614,415,2160,2023
2016-03-15 11:19:00,746,614,416,2160,2024
2016-03-15 11:20:00,745.5,614,414.5,2158,2024
2016-03-15 11:21:00,746,613,415,2156,2024
2016-03-15 11:22:00,747,613,415,2155,2022
2016-03-15 11:23:00,746.5,614,414.5,2156,2022
2016-03-15 11:24:00,746.5,613.5,414.5,2152,2020
2016-03-15 11:25:00,747.5,614,414.5,2155,2023
2016-03-15 11:26:00,747.5,613.5,414.5,2156,2024
2016-03-15 11:27:00,749,614.5,415,2158,2027
2016-03-15 11:28:00,749,615.5,415.5,2159,2029
2016-03-15 11:29:00,750,615,415.5,2161,2027
2016-03-15 11:30:00,749,615,414.5,2159,2026
2016-03-15 13:31:00,747.5,614,414,2157,2023
2016-03-15 13:32:00,747.5,614.5,415,2160,2028
2016-03-15 13:33:00,748.5,614.5,415.5,2160,2027
