2012年镇江新区经济开发总公司企业债券,122731,12镇经开,1280028,12镇江新区债,2019-03-01
2012年漳州市路桥经营有限公司公司债券,122692,12漳路桥,1280026,12漳州路桥债,2019-03-01
2013年梅州市康达公路建设有限公司公司债券,123011,13梅州债,1380265,13梅州债,2020-09-10
2012年葫芦岛市投资集团有限公司公司债券,122664,12葫芦岛,1280027,12葫芦岛债,2019-03-01
2012年鞍山市城市建设投资发展有限公司公司债券,122703,12鞍城投,1280029,12鞍山城投债,2019-03-05
2012年徐州经济技术开发区国有资产经营有限责任公司公司债券,122728,12徐经开,1280031,12徐州开发债,2019-03-07
2012年宿迁产业发展集团有限公司公司债券,122725,12宿产发,1280034,12宿产发债,2018-03-08
2012年淮安市水利资产经营有限公司公司债券,122722,12淮水利,1280032,12淮安水利债,2019-03-08
2012年中国航空技术国际控股有限公司公司债券(7年期),122712,12中航债,1280035,12中航国际债,2019-03-12
2012年泉州市路桥建设开发有限公司公司债券(7年期),122595,12泉州02,1280226,12泉州路桥债02,2019-08-07
2010年南昌市政公用投资控股有限责任公司公司债券,122894,10洪市政,1080086,10洪市政债,2017-08-03
2012年华盛江泉集团有限公司公司债券,122729,12江泉债,1280038,12江泉债,2019-03-12
2012年辽源市国有资产经营有限责任公司公司债券,122721,12辽国资,1280041,12辽源国资债,2019-03-13
2012年攀枝花市国有资产投资经营有限责任公司公司债券,122724,12攀国投,1280044,12攀国投,2022-03-13
2012年遵义市投资(集团)有限责任公司公司债券,122583,12遵投债,1280040,12遵义投资债,2019-03-13
2012年金坛市建设资产经营有限公司公司债券,122687,12金坛债,1280045,12金坛债,2019-03-14
2012年广西来宾市城市建设开发投资有限责任公司市政项目建设债券,122700,12来宾债,1280046,12来宾债,2019-03-14
2012年河南省郑州新区建设投资有限公司市政项目建设债券,122711,12郑新债,1280047,12郑新债,2019-03-14
2009年济南市城市建设投资有限公司公司债券,122975,09济城建,098038,09济城建债,2019-03-26
2009年永城煤电控股集团有限公司公司债券,122976,09永煤债,098041,09永煤债,2015-03-30
2009年昆山市创业控股有限公司公司债券,122973,09昆创控,098045,09昆创控债,2016-03-30
2013年景德镇市国有资产经营管理有限公司公司债券,124312,13景德镇,1380230,13景国资债,2020-06-25
2013年中国电力投资集团公司企业债券,124327,13中电投,1380239,13中电投债,2023-07-22
2012年昆明交通产业股份有限公司公司债券(5年期),122558,12昆交01,1280238,12昆交产债01,2017-08-17
2012年昆明交通产业股份有限公司公司债券(7年期),122559,12昆交02,1280239,12昆交产债02,2019-08-17
2013年武汉地产开发投资集团有限公司公司债券,124221,13武地产,1380137,13武地产债,2019-03-22
2009年中国长江三峡工程开发总公司企业债券(7年期),122971,09三峡02,098049,09三峡债02,2016-04-08
2009年中国长江三峡工程开发总公司企业债券(5年期),122970,09三峡01,098048,09三峡债01,2014-04-08
2009年绵阳市投资控股(集团)有限公司公司债,122972,09绵投控,098050,09绵阳投控债,2016-04-08
2011年厦门象屿集团有限公司公司债券,122789,11象屿债,1180132,11厦门象屿债,2018-07-08
2011年诸暨市城市建设投资发展有限公司公司债券,122790,11诸暨债,1180129,11诸暨债,2018-07-05
2012年泉州市泉港石化工业区建设发展有限公司公司债券,124129,12泉石建,1280108,12泉港石建债,2019-04-16
2009年杭州市城市建设投资集团有限公司公司债券,122968,09杭城投,098054,09杭城投债,2015-04-14
2009年潍坊市投资公司企业债券,122965,09潍投债,098056,09潍投债,2019-04-15
2009年昆明滇池投资有限责任公司公司债券,122966,09滇投债,098062,09昆明滇投债,2015-04-27
2009年岳阳市城市建设投资有限公司公司债券,122953,09岳城建,098071,09岳城建债,2015-04-30
2009年中国保利集团公司企业债券,122960,09保利集,098077,09保利集团债,2014-05-07
2009年南京市交通建设投资控股(集团)有限责任公司公司债券,122962,09宁交通,098076,09南京交通债,2016-05-07
2010年重庆交通旅游投资集团有限公司公司债券,122887,10渝交通,1080087,10渝交通债,2017-08-04
2009年清华控股有限公司公司债券,122959,09清控债,098086,09清华控股债,2016-05-19
2009年长沙经济技术开发有限公司公司债券,122958,09长经开,098091,09长经开债,2015-05-22
